College Code,College Name,,Branch Name,OC,BC,BCM,MBC,SC,SCA,ST,PickMyCareer Rank,Branch Code
2747,PSG College of Technology (Autonomous) Peelamedu Coimbatore District 641004,,INFORMATION TECHNOLOGY (SS),197.5,197,195,195.5,180.5,179.5,186.605,115,10
2750,Thiagarajar College of Engineering (Autonomous) Tirupparankundram Madurai District 625015,,INFORMATION TECHNOLOGY (SS),194,193,191.5,189,166.5,166,134,116,10
2753,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,,INFORMATION TECHNOLOGY (SS),199,198.5,198,198,191.5,176,182.5,117,10
2771,Thiagarajar College of Engineering (Autonomous) Tirupparankundram Madurai District 625015,,MECHANICAL ENGINEERING,187.5,182,185.5,182.5,160.5,146,122,118,11
2817,Government College of Engineering Tirunelveli District 627007,,MECHANICAL ENGINEERING,161.5,146.5,153.5,140.5,137,120.5,107,119,11
2867,Government College of Engineering Srirangam Sethurappatti Tiruchirappalli District 620012,,MECHANICAL ENGINEERING,151.5,138.5,138.5,129,116,103.5,136,120,11
2919,Government College of Engineering (Autonomous) Bargur Krishnagiri District 635104,,MECHANICAL ENGINEERING,155,141.5,148.5,141,132,127.5,86,121,11
2924,Coimbatore Institute of Technology (Autonomous) Civil Aerodrome Post Coimbatore District 641014,,MECHANICAL ENGINEERING,186.5,180.5,181,177.5,158.5,150.5,139.5,122,11
2939,Sri Krishna College of Enginering and Technology (Autonomous) Kuniamuthur Coimbatore District 641003,,MECHANICAL ENGINEERING,182,173.5,177,173,155.5,151,141.47,123,11
2951,Sri Krishna College of Enginering and Technology (Autonomous) Kuniamuthur Coimbatore District 641004,,MECHANICAL ENGINEERING,162,149,137,141.5,139.5,133,125.5,124,11
2955,Sri Krishna College of Enginering and Technology (Autonomous) Kuniamuthur Coimbatore District 641005,,MECHANICAL ENGINEERING,134,117,112,118.5,112,114.5,114,125,11
3040,Sri Krishna College of Enginering and Technology (Autonomous) Kuniamuthur Coimbatore District 641006,,MECHANICAL ENGINEERING,172,161.5,144.5,155.5,140,138.5,144.5,126,11
3042,Sri Krishna College of Enginering and Technology (Autonomous) Kuniamuthur Coimbatore District 641007,,MECHANICAL ENGINEERING,175,170.5,156.5,163,141,147.5,123.5,127,11
3066,Sri Krishna College of Enginering and Technology (Autonomous) Kuniamuthur Coimbatore District 641008,,MECHANICAL ENGINEERING,169,163.5,160.5,154.5,129,128,138,128,11
3102,PSG College of Technology (Autonomous) Peelamedu Coimbatore District 641004,,MECHANICAL ENGINEERING (SS),189.5,188,186,183,169,152,164.5,129,11
2712,Kumaraguru College of Technology (Autonomous) Chinnavedampatti Post Coimbatore District 641006,,INFORMATION TECHNOLOGY,193.5,191.5,186.81,188.5,166.5,146.5,165,130,10
